,Entity,Year,Fossil fuels (% electricity),Renewables (% electricity),Per capita electricity (kWh),Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Aviation and shipping (per capita),Land-use change and forestry (per capita),Manufacturing and construction (per capita),Fugitive emissions (per capita),Agriculture (per capita),Buildings (per capita),Electricity and heat (per capita),Industry (per capita),Transport (per capita)_x,Waste (per capita),Carbon intensity of electricity (gCO2/kWh),Transport (per capita)_y,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
1097,Oceania,2017,72.3068618774414,24.871198654174805,7403.8984375,89.01719665527344,10.88277816772461,0.5084562301635742,1.8662904500961304,1.1378690004348757,1.146891951560974,5.159916400909424,0.424323171377182,5.833955764770508,0.4996771216392517,2.935389757156372,0.5250389575958252,539.6435546875,2.860523462295532,0.0,23.936723709106445,40.72263717651367,102.92692565917967,0.0,421.0650634765625,536.0623168945312,698.3133544921875,12.539085388183594
1098,Oceania,2018,69.28168487548828,28.2485466003418,7392.8583984375,87.60446166992188,12.30564308166504,0.5309011936187744,1.8614016771316528,1.164037585258484,1.1471989154815674,5.002065658569336,0.4168789386749267,5.598156929016113,0.4837527573108673,2.9390804767608643,0.5236846208572388,531.2254028320312,2.864509105682373,0.0,32.89430236816406,48.4959716796875,115.26351928710938,0.0,412.7112426757813,524.5550537109375,708.6417236328125,12.486642837524414
1099,Oceania,2019,67.60328674316406,29.64849090576172,7383.38525390625,87.33028411865234,12.589364051818848,0.5604342222213745,2.2773425579071045,1.1559994220733645,1.2189029455184937,4.138098239898682,0.4080416858196258,5.535504341125488,0.4721320569515228,2.9092257022857666,0.5222173929214478,511.5293273925781,2.8361153602600098,0.0,48.56668472290039,57.272708892822266,104.43571472167967,0.0,487.28424072265625,504.2293701171875,705.0955810546875,12.44956398010254
1100,Oman,2000,93.9523696899414,0.0,4017.24365234375,100.00001525878906,0.0,0.3791932165622711,0.0,1.459452986717224,6.9268903732299805,0.4188762307167053,0.0264553409069776,5.868676662445068,0.3571470975875854,1.194899559020996,0.2336888462305069,459.8836669921875,1.1552165746688845,0.0,0.0,0.0,0.0,0.0,76.75151824951172,0.0029166666790843,37.84492492675781,0.0
1101,Oman,2001,93.97144317626952,0.0,4242.77783203125,100.0,0.0,0.4226655066013336,0.0,1.7168062925338743,7.3378214836120605,0.4313802421092987,0.0435737632215023,6.296408653259277,0.3834491074085235,1.2941408157348633,0.2352983206510543,460.1006164550781,1.2549244165420532,0.0,0.0,0.0,0.0,0.0,84.27616882324219,0.0016388888470828,42.20793533325195,0.0
1102,Oman,2002,93.98896026611328,0.0,4424.6767578125,100.00001525878906,0.0,0.5396469235420227,0.0,2.171436309814453,7.199574947357178,0.4240082800388336,0.0599607676267623,6.432933807373047,0.4368570148944855,1.242044448852539,0.2398430705070495,460.7491760253906,1.2034982442855835,0.0,0.0,0.0,0.0,0.0,88.28179168701172,0.003916666842997,49.36030960083008,0.0
1103,Oman,2003,93.98917388916016,0.0,4490.0517578125,100.0,0.0,0.5322350263595581,0.0,2.1163675785064697,7.463862419128418,0.423273503780365,0.0586715750396251,6.4664459228515625,0.5531891584396362,1.3159196376800537,0.2388771325349807,460.1455993652344,1.2740113735198977,0.0,0.0,0.0,0.0,0.0,95.2459487915039,0.0,47.33402633666992,0.0
1104,Oman,2004,94.0081787109375,0.0,4702.0595703125,99.99999237060548,0.0,0.3025936484336853,0.0,1.8605419397354128,7.029168605804443,0.4334449470043182,0.0490692369639873,6.742931365966797,0.5602071285247803,1.3534932136535645,0.2412570863962173,460.90966796875,1.312602162361145,0.0,0.0,0.0,0.0,0.0,86.4348373413086,0.0092777777463197,46.236778259277344,0.0
1105,Oman,2005,94.00696563720705,0.0,5036.52734375,100.0,0.0,0.3265300989151001,0.0,1.8636107444763184,6.813329219818115,0.4539564549922943,0.0597311146557331,6.088591575622559,0.5574904084205627,1.5092061758041382,0.2389244586229324,460.94244384765625,1.461421251296997,0.0,0.0,0.0,0.0,0.0,107.78306579589844,0.0036388889420777,51.53972244262695,0.0
1106,Oman,2006,97.60765838623048,0.0,5263.9677734375,100.0,0.0,0.4146076738834381,0.0,4.20807409286499,6.412856578826904,0.4494812190532684,0.0619974099099636,6.358609199523926,0.7207198739051819,1.6390565633773804,0.2402399629354477,478.4688720703125,1.5848088264465332,0.0,0.0,0.0,0.0,0.0,120.3576889038086,0.0357791669666767,53.67273712158203,0.0
