,,,Petrol,,Adv Petrol,,,Diesel,,,Adv Diesel,,,CNG ,,,Hybrid ,,,Electric,,,Bikes,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity,Year,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Lux,Adv Econ,Adv Lux ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2004,0.3024,0.2753,0.0444,0,0,0,0.0002,0.0051,0.0003,0,0,0,0.0006,0.0006,0.0001,0,0,0,0,0,0,0.3098,0.0612,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2005,0.3013,0.2717,0.0451,0,0,0,0.0003,0.005,0.0003,0,0,0,0.0007,0.0006,0.0001,0,0,0,0,0,0,0.3123,0.0626,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2006,0.304,0.2717,0.0431,0,0,0,0.0003,0.0049,0.0003,0,0,0,0.0008,0.0008,0.0001,0,0,0,0,0,0,0.3112,0.0628,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2007,0.3001,0.269,0.0437,0,0,0,0.0003,0.0047,0.0003,0,0,0,0.0009,0.0008,0.0001,0,0.0001,0.0001,0,0,0,0.3159,0.0642,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2008,0.3009,0.2693,0.0443,0,0,0,0.0003,0.0045,0.0003,0,0,0,0.0009,0.0008,0.0001,0,0.0001,0.0001,0,0,0,0.3143,0.0639,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2009,0.3044,0.2697,0.0435,0,0,0,0.0003,0.0045,0.0003,0,0,0,0.0009,0.0008,0.0001,0,0.0002,0.0002,0,0,0,0.3116,0.0634,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2010,0.311,0.2695,0.0444,0,0,0,0.0003,0.0044,0.0003,0,0,0,0.001,0.0008,0.0001,0.0001,0.0003,0.0002,0,0,0,0.3055,0.0621,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2011,0.3165,0.2699,0.0447,0,0,0,0.0003,0.0044,0.0003,0,0,0,0.001,0.0009,0.0001,0.0001,0.0003,0.0002,0,0,0,0.3004,0.0611,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2012,0.3199,0.2675,0.0449,0,0,0,0.0003,0.0043,0.0004,0,0,0,0.0011,0.0009,0.0002,0.0001,0.0003,0.0002,0,0,0,0.2995,0.0605,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2013,0.3101,0.2526,0.0426,0.0221,0.018,0.003,0.0003,0.0041,0.0004,0,0.0003,0,0.0013,0.001,0.0002,0.0001,0.0003,0.0002,0,0,0,0.2658,0.0541,0.0197,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2014,0.3209,0.255,0.0432,0.0236,0.0186,0.0031,0.0003,0.0042,0.0004,0,0.0003,0,0.0015,0.0011,0.0002,0.0001,0.0003,0.0002,0,0,0,0.2518,0.0517,0.0196,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2015,0.3316,0.2571,0.0438,0.0255,0.0194,0.0033,0.0004,0.0042,0.0004,0,0.0003,0,0.0017,0.0012,0.0002,0.0001,0.0003,0.0002,0,0,0,0.2378,0.0492,0.0194,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2004,0.2706,0.2463,0.0398,0,0,0,0.0122,0.2852,0.0498,0,0,0,0,0,0,0,0,0,0,0,0,0.0714,0.0247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2005,0.2572,0.2319,0.0385,0,0,0,0.0157,0.3066,0.0537,0,0,0,0,0,0,0,0,0,0,0,0,0.0704,0.026,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2006,0.2464,0.2201,0.0349,0,0,0,0.0193,0.3293,0.0545,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.0275,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2007,0.2334,0.2092,0.034,0,0,0,0.0223,0.3456,0.0572,0,0,0,0,0,0,0,0,0,0,0,0,0.0688,0.0295,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2008,0.2258,0.2021,0.0333,0,0,0,0.0243,0.3559,0.0587,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0685,0.0313,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2009,0.2196,0.1946,0.0314,0,0,0,0.0261,0.3677,0.059,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.069,0.0323,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2010,0.2155,0.1868,0.0307,0,0,0,0.0279,0.3773,0.0598,0,0,0,0,0,0,0.0001,0.0005,0,0,0,0,0.0683,0.033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2011,0.2125,0.1812,0.03,0,0,0,0.0293,0.3845,0.0603,0,0,0,0,0,0,0.0001,0.0008,0,0,0,0,0.0678,0.0335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2012,0.2103,0.1759,0.0295,0,0,0,0.0306,0.3902,0.0608,0,0,0,0,0,0,0.0001,0.0011,0.0001,0,0,0,0.0676,0.0337,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2013,0.1951,0.1596,0.0271,0.014,0.0115,0.0019,0.0299,0.3709,0.0583,0.0021,0.026,0.0041,0,0,0,0.0002,0.0014,0.0001,0,0,0,0.0605,0.0306,0.0044,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2014,0.1935,0.155,0.0266,0.0144,0.0115,0.0019,0.0312,0.3766,0.0598,0.0022,0.0265,0.0043,0,0,0,0.0002,0.0018,0.0001,0,0,0,0.0578,0.0297,0.0044,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2015,0.1919,0.1504,0.0262,0.0149,0.0115,0.002,0.0325,0.382,0.0612,0.0023,0.0273,0.0045,0,0,0,0.0003,0.0023,0.0001,0,0,0,0.0551,0.0288,0.0044,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2004,0.3291,0.1755,0.0193,0,0,0,0.0098,0.3403,0.0865,0,0,0,0,0,0,0,0,0,0,0,0,0.0284,0.0111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2005,0.3157,0.1683,0.0185,0,0,0,0.0102,0.3569,0.0907,0,0,0,0,0,0,0,0,0,0,0,0,0.0283,0.0113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2006,0.3001,0.1623,0.0195,0,0,0,0.0245,0.3739,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,0.0116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2007,0.2879,0.157,0.0189,0,0,0,0.0299,0.39,0.0799,0,0,0,0,0,0,0,0.0004,0,0,0,0,0.0243,0.0117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2008,0.2814,0.1502,0.0192,0,0,0,0.0204,0.4047,0.0872,0,0,0,0,0,0,0,0.0006,0,0,0,0,0.024,0.0122,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2009,0.3182,0.135,0.0076,0,0,0,0.0206,0.3979,0.0849,0,0,0,0,0,0,0.0001,0.0008,0,0,0,0,0.0228,0.0123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2010,0.2767,0.1673,0.0196,0,0,0,0.0206,0.3976,0.0832,0,0,0,0,0,0,0.0001,0.0009,0,0,0,0,0.0218,0.0124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2011,0.2939,0.1572,0.0165,0,0,0,0.019,0.403,0.0756,0,0,0,0,0,0,0.0002,0.0011,0,0,0.0001,0,0.0208,0.0126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2012,0.2898,0.1532,0.0163,0,0,0,0.0187,0.4107,0.0768,0,0,0,0,0,0,0.0003,0.0012,0,0,0.0002,0.0001,0.0199,0.0127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2013,0.2739,0.1394,0.0146,0.0197,0.01,0.0011,0.0168,0.3923,0.0669,0.0012,0.0274,0.0049,0,0,0,0.0004,0.0014,0,0,0.0003,0.0002,0.0165,0.011,0.0013,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2014,0.2766,0.1356,0.014,0.0206,0.01,0.001,0.0161,0.4001,0.0624,0.0011,0.028,0.0046,0,0,0,0.0005,0.0016,0,0,0.0003,0.0002,0.0146,0.0103,0.0012,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2015,0.279,0.1318,0.0134,0.0217,0.0101,0.001,0.0155,0.4074,0.0581,0.0011,0.0288,0.0044,0,0,0,0.0006,0.0019,0,0,0.0004,0.0003,0.0129,0.0096,0.0011,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2004,0.5325,0.2663,0.0516,0,0,0,0,0.1143,0.0244,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0.0066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2005,0.5207,0.263,0.0525,0,0,0,0.0006,0.1234,0.0293,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.0068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2006,0.5017,0.2697,0.0521,0,0,0,0.0006,0.1442,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.0069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2007,0.4733,0.2787,0.0598,0,0,0,0.0009,0.1483,0.0288,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0.0026,0.0071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2008,0.4473,0.2622,0.064,0,0,0,0.0016,0.1769,0.0358,0,0,0,0,0,0,0,0.0005,0.0003,0,0,0,0.0047,0.0066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2009,0.4353,0.2531,0.0642,0,0,0,0.0013,0.1941,0.039,0,0,0,0,0,0,0,0.0006,0.0003,0,0,0,0.005,0.0071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
