,Entity,Year,Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity)
51,Argentina,1991,86.697021484375,29969999.31335449,117510002.13623048,45349998.47412109,11250000.0,4000000.0,14789999.961853027,30709999.084472656,32459999.084472656,17299999.237060547,18600000.381469727,5110000.133514404,2769999.9809265137,9.081443786621094,54.79966735839844,29.71029281616211
52,Argentina,1992,86.2008056640625,32000000.0,119150001.5258789,45349998.47412109,11500000.0,4130000.114440918,15810000.4196167,32810001.373291016,31280000.686645508,16690000.534057615,19170000.076293945,5699999.809265137,3109999.895095825,10.206743240356444,52.1978874206543,34.38972473144531
53,Argentina,1993,83.97763061523438,34279998.779296875,117260002.13623048,45349998.47412109,11760000.228881836,4230000.019073486,15119999.885559082,35139999.38964844,30540000.915527344,18579999.92370605,17959999.084472656,6239999.771118164,2660000.0858306885,12.216532707214355,48.272891998291016,38.57244873046875
54,Argentina,1994,82.85507202148438,33790000.915527344,118839996.33789062,45349998.47412109,12010000.228881836,4349999.904632568,17620000.8392334,34619998.931884766,30309999.465942383,18200000.762939453,16899999.618530273,7360000.133514404,2869999.885559082,13.306406021118164,45.13970947265625,41.73244857788086
55,Argentina,1995,84.27295684814453,35209999.084472656,118169998.16894533,45349998.47412109,12550000.190734863,4000000.0,17340000.15258789,36060001.373291016,29280000.686645508,18120000.8392334,19440000.534057617,7820000.171661377,3549999.952316284,12.535518646240234,49.11910629272461,39.63524627685547
56,Argentina,1996,86.55399322509766,41000000.0,115730003.3569336,47310001.373291016,13100000.381469728,4260000.228881836,17850000.381469727,42009998.3215332,33250000.0,17979999.542236328,19520000.457763672,8279999.732971191,4280000.20980835,10.225037574768066,56.02873992919922,32.54642105102539
57,Argentina,1997,84.08763122558594,40970001.220703125,115260002.13623048,47930000.30517578,13649999.618530272,5460000.038146973,20940000.534057617,41959999.084472656,33049999.237060547,18069999.69482422,20270000.457763672,8119999.885559082,4389999.866485596,12.514141082763672,49.851593017578125,38.80355453491211
58,Argentina,1998,85.44583892822266,43590000.15258789,112169998.16894533,47669998.16894531,14590000.15258789,5989999.771118164,20379999.1607666,44650001.525878906,38020000.45776367,18379999.1607666,20469999.31335449,7739999.771118164,4119999.885559082,11.482151985168455,53.766090393066406,36.01876449584961
59,Argentina,1999,87.87606048583984,40970001.220703125,114489997.86376952,49069999.69482422,15520000.457763672,6409999.847412109,18420000.076293945,41939998.62670898,42849998.47412109,19690000.534057617,21540000.915527344,7849999.904632568,4130000.114440918,9.226556777954102,63.990230560302734,26.86688804626465
60,Argentina,2000,85.20771026611328,39840000.15258789,116849998.4741211,46549999.23706055,16459999.084472656,6309999.942779541,18000000.0,40779998.77929688,42259998.3215332,20770000.457763672,21790000.915527344,7599999.904632568,3769999.9809265137,12.283858299255373,60.17509841918945,32.58791732788086
