Entity,Code,Year,Solar (TWh growth - equivalent),Coal (TWh growth),Gas (TWh growth),Other renewables (TWh growth - equivalent),Nuclear (TWh growth - equivalent),Hydro (TWh growth - equivalent),Wind (TWh growth - equivalent),Oil (TWh growth)
Other Middle East (BP),,1984,0,-0.022841107100248337,1.6547393798828125,0,0,1.6204309463500977,0,15.697463989257812
Other Middle East (BP),,1985,0,-0.02216583676636219,8.773918151855469,0,0,0.05026721954345703,0,4.8427734375
Other Middle East (BP),,1986,0,-0.007833332754671574,9.131187438964844,0,0,-1.4903221130371094,0,-3.5099945068359375
Other Middle East (BP),,1987,0,0,-1.593658447265625,0,0,0.1951618194580078,0,13.105026245117188
Other Middle East (BP),,1988,0,0,8.367279052734375,0,0,-0.13602161407470703,0,1.7458953857421875
Other Middle East (BP),,1989,0,-0.007833332754671574,8.687568664550781,0,0,-0.45537662506103516,0,-2.6370086669921875
Other Middle East (BP),,1990,0,0,4.6047515869140625,0,0,-0.14784908294677734,0.0029444443061947823,14.35284423828125
Other Middle East (BP),,1991,0,0.015666665509343147,-0.16434478759765625,0,0,0.035483360290527344,0,20.7764892578125
Other Middle East (BP),,1992,0,0,10.494880676269531,0,0,0.3666667938232422,0,3.1451416015625
Other Middle East (BP),,1993,0,0.8489888310432434,4.816596984863281,0,0,-0.14489173889160156,0,6.166656494140625
Other Middle East (BP),,1994,0,0.014020860195159912,4.003944396972656,0,0,0.168548583984375,0,13.31060791015625
Other Middle East (BP),,1995,0,0.5376480221748352,6.6152801513671875,0,0,-0.585484504699707,0,10.937469482421875
Other Middle East (BP),,1996,0,0.1580052375793457,3.88232421875,0,0,0.5500001907348633,0,7.165740966796875
Other Middle East (BP),,1997,0,-0.005394697189331055,21.211341857910156,0,0,-0.053226470947265625,0.005916666239500046,6.15740966796875
Other Middle East (BP),,1998,0,0.012661457061767578,15.5513916015625,0,0,0.4346780776977539,0,23.038238525390625
Other Middle East (BP),,1999,0,-0.009701132774353027,2.5537109375,0,0,-1.2833337783813477,0,5.943511962890625
Other Middle East (BP),,2000,0,0.004591464996337891,1.1636199951171875,0.009583333507180214,,1.9149465560913086,0,2.214813232421875
Other Middle East (BP),,2001,0,-0.0006606578826904297,4.737030029296875,0.0063888877630233765,,0.13783550262451172,-0.000055555254220962524,8.752288818359375
Other Middle East (BP),,2002,0,-0.007341146469116211,9.149322509765625,0,,1.2302141189575195,-0.000055555254220962524,8.976898193359375
Other Middle East (BP),,2003,0,-0.0019937753677368164,13.007186889648438,0.0031944457441568375,,-0.43053531646728516,-0.00005555618554353714,9.063934326171875
Other Middle East (BP),,2004,0,0.022363781929016113,-7.6145782470703125,0,,3.5600271224975586,0.0031111110001802444,22.556182861328125
Other Middle East (BP),,2005,0,0.00032532215118408203,5.373748779296875,-0.0031944457441568375,,-2.4549989700317383,-0.000055555254220962524,52.98260498046875
Other Middle East (BP),,2006,0,-0.010307788848876953,16.05621337890625,0.0031944457441568375,,0.46207237243652344,-0.00008333288133144379,2.552337646484375
Other Middle East (BP),,2007,0,0.008607149124145508,6.153076171875,0.012755274772644043,,-1.704401969909668,-0.0000833338126540184,9.708038330078125
Other Middle East (BP),,2008,0.007583333179354668,0.369747519493103,12.326812744140625,-0.0031922198832035065,,-2.4957408905029297,0.0033055562525987625,22.258636474609375
Other Middle East (BP),,2009,0.0008055558428168297,0.2808884382247925,17.11273193359375,-0.0063963886350393295,,-2.1945385932922363,-0.00008333474397659302,-10.91571044921875
Other Middle East (BP),,2010,0.004194444045424461,0.8681247234344482,31.166610717773438,0.0063963886350393295,,2.6020121574401855,-0.00008333288133144379,-31.971099853515625
Other Middle East (BP),,2011,0.0061388881877064705,1.185823917388916,-34.7388916015625,-0.0032019447535276413,,1.736760139465332,-0.00011111050844192505,-5.431243896484375
Other Middle East (BP),,2012,0.009337777271866798,2.012876033782959,-15.174453735351562,-0.006361110135912895,,0.8416471481323242,0.0026666661724448204,-22.533477783203125
Other Middle East (BP),,2013,0.0189261082559824,-0.6510815620422363,6.9624786376953125,0,,-0.6902093887329102,0.008055556565523148,-26.93328857421875
Other Middle East (BP),,2014,0.07018916308879852,1.5664796829223633,-3.222930908203125,-0.00800000037997961,,-4.560379981994629,0.003653889521956444,-0.71075439453125
Other Middle East (BP),,2015,0.4037802815437317,-2.2872724533081055,15.885910034179688,0.0019166655838489532,,-4.476655960083008,0.32486942410469055,-49.691925048828125
Other Middle East (BP),,2016,1.24776291847229,0.34188365936279297,5.5552215576171875,0,,1.0771660804748535,0.7356973886489868,-17.477294921875
Other Middle East (BP),,2017,0.5719501972198486,-0.5087461471557617,1.3140716552734375,0,,-0.41003942489624023,0.12758982181549072,19.907257080078125
Other Middle East (BP),,2018,1.467191457748413,0.25928258895874023,-12.219863891601562,0.020115558058023453,,-0.2365889549255371,0.6752152442932129,-9.62677001953125
Other Middle East (BP),,2019,1.6641013622283936,-1.4176921844482422,12.50732421875,0.08970111608505249,,1.6050593852996826,0.4356023073196411,-7.1002197265625
