,,Ratio of Market demand,,,,,,,,,,,,,,,,,,,,,,,,,,GHG emissions by Sector all in tonnes of c02 eq,,,,,,,,,,,Primary Energy,,,,,,
Entity,Year,"('Petrol', 'Econ')","('Petrol', 'Mid')","('Petrol', 'Lux')","('Adv Petrol', 'Econ')","('Adv Petrol', 'Mid')","('Adv Petrol', 'Lux')","('Diesel', 'Econ')","('Diesel', 'Mid')","('Diesel', 'Lux')","('Adv Diesel', 'Econ')","('Adv Diesel', 'Mid')","('Adv Diesel', 'Lux')","('CNG', 'Econ')","('CNG', 'Mid')","('CNG', 'Lux')","('Hybrid', 'Econ')","('Hybrid', 'Mid')","('Hybrid', 'Lux')","('Electric', 'Econ')","('Electric', 'Mid')","('Electric', 'Lux')","('Bikes', 'Econ')","('Bikes', 'Lux')","('Electric Bikes', 'Adv Econ')","('Electric Bikes', 'Adv Lux')",Transport_x(only co2 emissions),Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y(by sector billions tonnes,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity),fossil_demand,ev_demand,ev_savings
Australia,2005,0.0753,0.097,0.73,0,0,0,0,0.0027,0.0755,0,0,0,0,0,0,0,0.0006,0,0,0,0,0.0032,0.0157,0,0,79330001.83,137240005.5,30059999.47,14279999.73,13439999.58,44060001.37,81610000.61,225639999.4,11920000.08,25659999.85,6530000.21,11020000.46,95.68644714,4.313553333,90.66033936,8.979735374,0.9994,0,0
Australia,2006,0.0761,0.1219,0.6986,0,0,0,0,0.0026,0.0797,0,0,0,0,0,0,0,0.0008,0,0,0,0,0.0033,0.0169,0,0,81250000,174910003.7,35200000.76,14069999.69,12920000.08,42919998.17,83550003.05,230470001.2,12119999.89,26100000.38,6059999.943,11630000.11,95.76657867,4.233413219,90.77140808,8.881513596,0.9991,0,0
Australia,2007,0.0769,0.1449,0.6689,0,0,0,0,0.0028,0.0833,0,0,0,0,0,0,0,0.0012,0.0001,0,0,0.0001,0.0035,0.0183,0,0,83580001.83,165000000,31469999.31,14399999.62,14000000,43549999.24,85930000.31,237589996.3,12399999.62,27639999.39,5969999.79,12000000,96.02326965,3.976722717,91.43848419,8.343367577,0.9986,0.0001,8369.717788
Australia,2008,0.0783,0.1658,0.6425,0,0,0,0,0.0029,0.0852,0,0,0,0,0,0,0,0.0016,0.0002,0,0,0.0001,0.0036,0.0199,0,0,85300003.05,132240005.5,29829999.92,14869999.89,15250000,45069999.69,87709999.08,237449996.9,12479999.54,27850000.38,6039999.962,12300000.19,96.31866455,3.681326389,91.40084076,7.787761688,0.9982,0.0001,8545.381993
Australia,2009,0.0795,0.1825,0.6201,0,0,0,0,0.0045,0.0858,0,0,0,0,0,0,0,0.0019,0.0002,0,0,0.0001,0.0037,0.0216,0,0,84680000.31,139309997.6,32740001.68,14800000.19,15779999.73,41470001.22,87089996.34,247429992.7,13079999.92,28620000.84,6010000.229,11310000.42,96.07972717,3.920266151,90.59259033,8.065899849,0.9977,0.0001,8487.52133
Australia,2010,0.0878,0.2019,0.5797,0,0,0,0,0.0086,0.0934,0,0,0,0,0,0,0,0.0022,0.0002,0,0,0.0001,0.0036,0.0226,0,0,87629997.25,115750000,29920000.08,15119999.89,16700000.76,37310001.37,90080001.83,240949996.9,13210000.04,31170000.08,6170000.076,12489999.77,95.68719482,4.312804699,90.01809692,8.826127052,0.9976,0.0001,8784.081521
Australia,2011,0.0835,0.2075,0.5787,0,0,0,0,0.0122,0.089,0,0,0,0,0,0,0,0.0022,0.0003,0,0,0.0001,0.0035,0.023,0,0,89769996.64,220110000.6,-28389999.39,14489999.77,16930000.31,39860000.61,92269996.64,234220001.2,13649999.62,30709999.08,6099999.905,11989999.77,94.30101776,5.698980808,87.2660675,11.94771767,0.9974,0.0001,9000.400706
Australia,2012,0.0841,0.2181,0.5589,0,0,0,0,0.0157,0.0929,0,0,0,0,0,0,0,0.0027,0.0003,0,0,0.0001,0.0034,0.0238,0,0,90430000.31,219009994.5,-27809999.47,12840000.15,17329999.92,41340000.15,92959999.08,231699996.9,13899999.62,32139999.39,6210000.038,12970000.27,94.29978943,5.700209141,87.277565,12.07590008,0.9969,0.0001,9071.120504
Australia,2013,0.0808,0.213,0.5063,0.0057,0.0149,0.0362,0,0.0172,0.0899,0,0.0012,0.0063,0,0,0,0,0.0031,0.0004,0,0,0.0001,0.003,0.0205,0.0002,0.0015,91830001.83,138080001.8,-26629999.16,12020000.46,16750000,41369998.93,94400001.53,223539993.3,14180000.31,34229999.54,6309999.943,13000000,93.47412872,6.525868893,85.31285858,14.2356987,0.995,0.0018,166124.6264
Australia,2014,0.0828,0.2219,0.4903,0.0059,0.0157,0.0355,0,0.02,0.0928,0,0.0013,0.0065,0,0,0,0,0.0035,0.0004,0,0,0.0001,0.0029,0.0188,0.0001,0.0014,91980003.36,160050003.1,-27290000.92,12180000.31,17290000.92,41360000.61,94540000.92,213669998.2,14670000.08,37259998.32,6260000.229,14170000.08,94.02017975,5.979823112,86.73825836,13.22823048,0.9944,0.0016,147996.7874
Australia,2015,0.0846,0.2307,0.474,0.0061,0.0166,0.0349,0,0.0233,0.0956,0,0.0016,0.0068,0,0,0,0,0.004,0.0004,0,0,0.0002,0.0028,0.0173,0.0001,0.0012,94150001.53,151679992.7,-28110000.61,11539999.96,17940000.53,38040000.92,96779998.78,220470001.2,14920000.08,38979999.54,6630000.114,13529999.73,93.70998383,6.290020943,85.85968018,14.092659,0.9943,0.0015,142034.5995
Austria,2004,0.2156,0.2086,0.0485,0,0,0,0,0.3719,0.0861,0,0,0,0,0,0,0,0,0,0,0,0,0.0389,0.0305,0,0,23840000.15,7599999.905,-6170000.076,2920000.076,4000000,11819999.69,24379999.16,24950000.76,13270000.46,300000.0119,1029999.971,1779999.971,72.36621857,27.63378525,34.80114746,62.02749634,1.0001,0,0
Austria,2005,0.2135,0.194,0.0463,0,0,0,0,0.3872,0.0888,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0393,0.0309,0,0,24540000.92,7579999.924,-6159999.847,2779999.971,3779999.971,11170000.08,25100000.38,25709999.08,12989999.77,280000.0012,959999.9785,2009999.99,72.05213928,27.94786072,35.32699585,61.17896271,1,0,0
Austria,2006,0.2137,0.1807,0.0447,0,0,0,0.0151,0.3847,0.0921,0,0,0,0,0,0,0,0.0002,0.0001,0,0,0,0.0381,0.0307,0,0,23389999.39,7460000.038,-6170000.076,2670000.076,3980000.019,11399999.62,23969999.31,24700000.76,12720000.27,289999.9917,920000.0167,2089999.914,71.40878296,28.59120941,33.58432007,63.20133209,0.9998,0,0
Austria,2007,0.2153,0.1706,0.0434,0,0,0,0.0166,0.3899,0.0935,0,0,0,0,0,0,0,0.0003,0.0001,0,0,0,0.0389,0.0314,0,0,23579999.92,7329999.924,-6159999.847,2539999.962,4199999.809,11109999.66,24170000.08,23760000.23,10770000.46,289999.9917,889999.9857,2220000.029,69.01938629,30.98060989,30.48295975,66.70270538,0.9996,0,0
Austria,2008,0.2202,0.1617,0.0425,0,0,0,0.0176,0.3918,0.094,0,0,0,0,0,0,0,0.0004,0.0001,0,0,0,0.0398,0.032,0,0,22549999.24,7440000.057,-6170000.076,2430000.067,4280000.21,11369999.89,23129999.16,23690000.53,11130000.11,270000.0107,889999.9857,2220000.029,68.65452576,31.34547806,29.92873001,66.76467133,0.9996,0,0
Austria,2009,0.2256,0.153,0.0411,0,0,0,0.0181,0.3933,0.0956,0,0,0,0,0,0,0.0001,0.0005,0.0001,0,0,0,0.0401,0.0326,0,0,21709999.08,7320000.172,-6159999.847,2279999.971,3589999.914,10729999.54,22309999.47,20090000.15,10279999.73,280000.0012,829999.9833,1919999.957,65.67749023,34.32251358,27.67504692,68.31048584,0.9994,0,0
Austria,2010,0.2302,0.1454,0.0397,0,0,0,0.019,0.3959,0.0961,0,0,0,0,0,0,0,0.0005,0.0001,0,0,0,0.04,0.0329,0,0,22520000.46,7440000.057,-6159999.847,2160000.086,3539999.962,11239999.77,23129999.16,24340000.15,10550000.19,280000.0012,839999.9738,2069999.933,68.3943634,31.60564232,32.21508408,63.27238083,0.9992,0,0
Austria,2011,0.2401,0.1642,0.0416,0,0,0,0.0192,0.3669,0.0966,0,0,0,0,0,0,0,0.0004,0.0001,0,0,0,0.0339,0.037,0,0,21719999.31,7469999.79,-7070000.172,2039999.962,3460000.038,11359999.66,22290000.92,24559999.47,9260000.229,280000.0012,810000.0024,2160000.086,69.27919769,30.72079468,32.41965485,62.13593674,0.9995,0,0
Austria,2012,0.2499,0.1588,0.039,0,0,0,0.0194,0.3658,0.0939,0,0,0,0,0,0,0,0.0004,0.0001,0,0,0,0.0339,0.0389,0,0,21649999.62,7420000.076,-7070000.172,1940000.057,3529999.971,11170000.08,22229999.54,22059999.47,8890000.343,289999.9917,800000.0119,2099999.905,64.07064819,35.92934418,23.88561058,70.59590912,0.9996,0,0
Austria,2013,0.2431,0.138,0.0346,0.0173,0.0101,0.0025,0.0188,0.344,0.0872,0.0013,0.0241,0.0062,0,0,0,0,0.0005,0.0001,0,0,0,0.0313,0.0361,0.0023,0.0026,23110000.61,7380000.114,-7070000.172,1830000.043,3529999.971,10789999.96,23709999.08,21379999.16,9140000.343,280000.0012,819999.9928,2009999.99,64.73332977,35.26667404,20.58799171,73.79852295,0.9946,0.0049,113853.8136
Austria,2014,0.2526,0.1283,0.0329,0.0187,0.0096,0.0024,0.0194,0.3454,0.0866,0.0013,0.0241,0.0063,0,0,0,0,0.0005,0.0001,0,0,0,0.0308,0.0357,0.0024,0.0027,22649999.62,7480000.019,-7070000.172,1730000.019,3599999.905,10449999.81,23270000.46,19489999.77,8050000.191,270000.0107,819999.9928,2009999.99,63.35970688,36.64029694,17.3959198,76.46857452,0.9941,0.0051,116200.5815
Austria,2015,0.262,0.1192,0.0313,0.0202,0.0093,0.0024,0.0201,0.3462,0.0859,0.0014,0.0244,0.0064,0,0,0,0,0.0005,0.0001,0,0,0,0.0301,0.0352,0.0024,0.0028,23149999.62,7469999.79,-7070000.172,1649999.976,3690000.057,10550000.19,23780000.69,19600000.38,8520000.458,259999.9905,819999.9928,2160000.086,65.03591919,34.964077,21.76673889,72.65289307,0.9941,0.0052,121094.4553
Brazil,2004,0.1875,0.2335,0.4003,0,0,0,0.0033,0.0702,0.0385,0,0,0,0.0017,0.0018,0.0006,0,0.0012,0.0003,0,0,0,0.0539,0.0073,0,0,136449996.9,463649993.9,1112400024,52389999.39,25680000.31,88839996.34,140619995.1,57419998.17,22940000.53,13329999.92,16110000.61,13630000.11,56.40468597,42.2861557,10.97127056,86.03197479,0.9986,0,0
Brazil,2005,0.3198,0.3218,0.1957,0,0,0,0,0,0.0285,0,0,0,0,0,0,0,0,0,0,0,0,0.0542,0.08,0,0,137190002.4,468470001.2,1115420044,53520000.46,26219999.31,87519996.64,141440002.4,59680000.31,22450000.76,15760000.23,15939999.58,14510000.23,55.78099442,43.14569855,10.42976475,87.12498474,1,0,0
