Year,Month,Make,Model,Quantity,Type of engine
2007,12,Volkswagen ,Volkswagen Passat,381,gas
2007,12,Honda ,Honda CR-V,335,gas
2007,12,Skoda ,Skoda Octavia,308,gas
2007,12,Toyota ,Toyota Avensis,268,gas
2007,12,Toyota ,Toyota Auris,268,gas
2007,12,Saab ,Saab 9-3,259,gas
2007,12,Mitsubishi ,Mitsubishi Outlander,226,gas
2007,12,Toyota ,Toyota Rav4,225,gas
2007,12,Ford ,Ford Focus,157,gas
2007,12,Audi ,Audi A4,139,gas
2007,12,Volkswagen ,Volkswagen Touran,135,gas
2007,12,Opel ,Opel Astra,130,gas
2007,12,Toyota ,Toyota Yaris,115,gas
2007,12,Volkswagen ,Volkswagen Polo,108,gas
2007,12,Toyota ,Toyota Corolla,90,gas
2007,12,Peugeot ,Peugeot 207,65,gas
2007,12,Peugeot ,Peugeot 307,47,gas
2008,1,Ford ,Ford Mondeo,588,gas
2008,1,Volkswagen ,Volkswagen Golf,425,gas
2008,1,Honda ,Honda CR-V,397,gas
2008,1,Volkswagen ,Volkswagen Passat,365,gas
2008,1,Toyota ,Toyota Rav4,331,gas
2008,1,Toyota ,Toyota Avensis,322,gas
2008,1,Toyota ,Toyota Auris,321,gas
2008,1,Volvo ,Volvo V70,315,gas
2008,1,Nissan ,Nissan Qashqai,280,gas
2008,1,Mitsubishi ,Mitsubishi Outlander,232,gas
2008,1,Toyota ,Toyota Corolla,229,gas
2008,1,Toyota ,Toyota Prius,217,EV/Hybrid
2008,1,Skoda ,Skoda Octavia,216,gas
2008,1,Peugeot ,Peugeot 207,202,gas
2008,1,Toyota ,Toyota Yaris,198,gas
2008,1,Ford ,Ford Focus,173,gas
2008,1,BMW ,BMW 3-serie,158,gas
2008,1,Audi ,Audi A4,157,gas
2008,1,Nissan ,Nissan X-Trail,144,gas
2008,1,Peugeot ,Peugeot 308,135,gas
2008,2,Ford ,Ford Mondeo,624,gas
2008,2,Volkswagen ,Volkswagen Passat,551,gas
2008,2,Volkswagen ,Volkswagen Golf,488,gas
2008,2,Volvo ,Volvo V70,392,gas
2008,2,Toyota ,Toyota Auris,342,gas
2008,2,Volkswagen ,Volkswagen Tiguan,340,gas
2008,2,Toyota ,Toyota Avensis,315,gas
2008,2,Nissan ,Nissan Qashqai,272,gas
2008,2,Nissan ,Nissan X-Trail,271,gas
2008,2,Mitsubishi ,Mitsubishi Outlander,257,gas
2008,2,Toyota ,Toyota Rav4,250,gas
2008,2,Ford ,Ford Focus,235,gas
2008,2,Skoda ,Skoda Octavia,225,gas
2008,2,Toyota ,Toyota Yaris,222,gas
2008,2,Honda ,Honda CR-V,219,gas
2008,2,Audi ,Audi A4,200,gas
2008,2,BMW ,BMW 3-serie,184,gas
2008,2,Toyota ,Toyota Prius,165,EV/Hybrid
2008,2,Peugeot ,Peugeot 207,144,gas
2008,2,Toyota ,Toyota Corolla,142,gas
2008,3,Volkswagen ,Volkswagen Golf,453,gas
2008,3,Mitsubishi ,Mitsubishi Outlander,430,gas
2008,3,Volkswagen ,Volkswagen Passat,396,gas
2008,3,Ford ,Ford Mondeo,351,gas
2008,3,Toyota ,Toyota Auris,292,gas
2008,3,Toyota ,Toyota Avensis,286,gas
2008,3,Volvo ,Volvo V70,281,gas
2008,3,Volkswagen ,Volkswagen Tiguan,267,gas
2008,3,Nissan ,Nissan Qashqai,252,gas
2008,3,Ford ,Ford Focus,246,gas
2008,3,Toyota ,Toyota Yaris,239,gas
2008,3,Audi ,Audi A4,235,gas
2008,3,Skoda ,Skoda Octavia,208,gas
2008,3,Skoda ,Skoda Fabia,207,gas
2008,3,Toyota ,Toyota Rav4,200,gas
2008,3,Honda ,Honda CR-V,151,gas
2008,3,Nissan ,Nissan X-Trail,150,gas
2008,3,Toyota ,Toyota Corolla,140,gas
2008,3,Peugeot ,Peugeot 207,130,gas
2008,3,Toyota ,Toyota Prius,95,EV/Hybrid
2008,4,Volkswagen ,Volkswagen Golf,598,gas
2008,4,Volkswagen ,Volkswagen Passat,478,gas
2008,4,Mitsubishi ,Mitsubishi Outlander,474,gas
2008,4,Volvo ,Volvo V70,405,gas
2008,4,Toyota ,Toyota Auris,371,gas
2008,4,Ford ,Ford Mondeo,354,gas
2008,4,Toyota ,Toyota Avensis,347,gas
2008,4,Ford ,Ford Focus,342,gas
2008,4,Audi ,Audi A4,282,gas
2008,4,Skoda ,Skoda Octavia,268,gas
2008,4,Toyota ,Toyota Yaris,254,gas
2008,4,Honda ,Honda CR-V,248,gas
2008,4,Nissan ,Nissan Qashqai,223,gas
2008,4,Audi ,Audi A3,222,gas
2008,4,Volkswagen ,Volkswagen Tiguan,221,gas
2008,4,Peugeot ,Peugeot 308,213,gas
2008,4,BMW ,BMW 3-serie,208,gas
2008,4,Toyota ,Toyota Rav4,190,gas
2008,4,Toyota ,Toyota Corolla,184,gas
2008,4,Nissan ,Nissan X-Trail,162,gas
2008,5,Volvo ,Volvo V70,447,gas
2008,5,Volkswagen ,Volkswagen Golf,416,gas
2008,5,Ford ,Ford Focus,416,gas
2008,5,Volkswagen ,Volkswagen Passat,372,gas
2008,5,Toyota ,Toyota Auris,324,gas
2008,5,Nissan ,Nissan Qashqai,310,gas
2008,5,Toyota ,Toyota Avensis,304,gas
2008,5,Ford ,Ford Mondeo,303,gas
2008,5,Audi ,Audi A4,289,gas
2008,5,Skoda ,Skoda Octavia,268,gas
2008,5,Volkswagen ,Volkswagen Tiguan,218,gas
2008,5,Peugeot ,Peugeot 207,207,gas
2008,5,Mitsubishi ,Mitsubishi Outlander,205,gas
2008,5,Honda ,Honda CR-V,191,gas
2008,5,Toyota ,Toyota Yaris,191,gas
2008,5,Audi ,Audi A3,178,gas
2008,5,BMW ,BMW 3-serie,174,gas
2008,5,Toyota ,Toyota Rav4,172,gas
2008,5,Peugeot ,Peugeot 308,172,gas
2008,5,Nissan ,Nissan X-Trail,118,gas
2008,6,Ford ,Ford Mondeo,455,gas
2008,6,Volkswagen ,Volkswagen Golf,358,gas
2008,6,Audi ,Audi A4,331,gas
